id	id_pc	breast_video	obs
404	87_1	3	wz
405	89_1	4	wz
406	90_1	4	wz
407	93_2	3	wz
408	94_1	4	wz
409	95_2	3	wz
410	104_1	5	wz
411	110_2	4	wz
412	119_1	5	wz
413	120_2	4	wz
414	124_1	4	wz
415	125_2		wz
416	128_1	4	wz
417	130_2	5	wz
418	131_1	5	wz
419	133_2	3	wz
420	135_1	2	wz
421	138_2	3	wz
422	139_1	5	wz
423	141_2	3	wz
424	142_1	4	wz
425	147_1	5	wz
426	152_2	4	wz
427	153_1	4	wz
428	155_2	5	wz
429	158_1	2	wz
430	161_2	3	wz
431	165_1	3	wz
432	166_2	4	wz
433	167_1	4	wz
434	169_2	4	wz
435	170_1	3	wz
436	171_1	3	wz
437	21_2	3	wz
438	33_1	5	wz
439	35_2	1	wz
440	36_1	2	wz
441	37_2	4	wz
442	40_1	3	wz
443	41_2	5	wz
444	55_1	5	wz
445	57_2	2	wz
446	59_1		wz
447	64_2	1	wz
448	71_2	3	wz
449	72_1	2	wz
450	80_2	3	wz
451	83_1	4	wz
452	87_2	3	wz
453	89_1	5	wz
454	89_2	5	wz
455	90_2	5	wz
456	93_1	5	wz
457	94_2	3	wz
458	95_1	3	wz
459	104_2	5	wz
460	110_1	4	wz
461	119_2	5	wz
462	120_1	5	wz
463	124_2	3	wz
464	125_1		wz
465	128_2	4	wz
466	130_1	4	wz
467	131_2	5	wz
468	133_1	3	wz
469	135_2	4	wz
470	138_1	3	wz
471	139_2	4	wz
472	141_1	3	wz
473	142_2	5	wz
474	147_2	5	wz
475	152_1	3	wz
476	153_2	3	wz
477	155_1	5	wz
478	158_2	2	wz
479	161_1	5	wz
480	165_2		wz
481	166_1	4	wz
482	167_2	4	wz
483	169_1	4	wz
484	170_2	4	wz
485	171_2	1	wz
			
			
